PollTaker,LastEdit,Radiobuttons,Checkboxen,Textfrage Single Line,Textfrage Multiline,Rangefrage,Sliderfrage nach Gefühl,Sliderfrage nach Wert

2,2020-07-05 19:39:39,1 ,0 2 ,Hallo ,Das ist ein langer Text ,6 ,0.98 ,2001 ,
4,2020-07-05 19:39:39,0 ,3 0 ,Hallo ,Das ist ein langer Text ,6 ,0.85 ,4986 ,
6,2020-07-05 19:39:40,2 ,3 1 ,Hallo ,Das ist ein langer Text ,1 ,0.77 ,1153 ,
8,2020-07-05 19:39:40,2 ,2 2 ,Hallo ,Das ist ein langer Text ,2 ,0.08 ,668 ,
10,2020-07-05 19:39:41,3 ,1 0 ,Hallo ,Das ist ein langer Text ,5 ,0.1 ,4033 ,
12,2020-07-05 19:39:42,0 ,1 3 ,Hallo ,Das ist ein langer Text ,7 ,0.29 ,3055 ,
14,2020-07-05 19:39:42,0 ,1 2 ,Hallo ,Das ist ein langer Text ,0 ,0.48 ,3984 ,
16,2020-07-05 19:39:43,0 ,1 0 ,Hallo ,Das ist ein langer Text ,5 ,0.44 ,4559 ,
18,2020-07-05 19:39:44,3 ,0 3 ,Hallo ,Das ist ein langer Text ,0 ,0.94 ,2105 ,
20,2020-07-05 19:39:44,2 ,0 2 ,Hallo ,Das ist ein langer Text ,1 ,0.28 ,2993 ,
22,2020-07-05 19:39:45,0 ,1 0 ,Hallo ,Das ist ein langer Text ,6 ,0.21 ,220 ,
24,2020-07-05 19:39:45,0 ,1 0 ,Hallo ,Das ist ein langer Text ,3 ,0.54 ,4478 ,
26,2020-07-05 19:39:46,3 ,1 2 ,Hallo ,Das ist ein langer Text ,7 ,0.21 ,3984 ,
28,2020-07-05 19:39:47,2 ,0 0 ,Hallo ,Das ist ein langer Text ,3 ,0.58 ,4919 ,
30,2020-07-05 19:39:47,3 ,2 0 ,Hallo ,Das ist ein langer Text ,2 ,0.7 ,1462 ,
32,2020-07-05 19:39:48,2 ,2 0 ,Hallo ,Das ist ein langer Text ,6 ,0.55 ,769 ,
34,2020-07-05 19:39:49,0 ,2 1 ,Hallo ,Das ist ein langer Text ,0 ,0.4 ,3759 ,
36,2020-07-05 19:39:49,1 ,2 1 ,Hallo ,Das ist ein langer Text ,3 ,0.85 ,1871 ,
38,2020-07-05 19:39:50,0 ,1 2 ,Hallo ,Das ist ein langer Text ,4 ,0.16 ,137 ,
40,2020-07-05 19:39:50,3 ,3 3 ,Hallo ,Das ist ein langer Text ,6 ,0.24 ,130 ,
42,2020-07-05 19:39:51,1 ,0 2 ,Hallo ,Das ist ein langer Text ,7 ,0.15 ,1825 ,
44,2020-07-05 19:39:51,3 ,1 0 ,Hallo ,Das ist ein langer Text ,2 ,0.22 ,2985 ,
46,2020-07-05 19:39:52,0 ,2 0 ,Hallo ,Das ist ein langer Text ,1 ,0.55 ,3308 ,
48,2020-07-05 19:39:52,0 ,0 0 ,Hallo ,Das ist ein langer Text ,5 ,0.1 ,652 ,
50,2020-07-05 19:39:53,0 ,3 1 ,Hallo ,Das ist ein langer Text ,7 ,0.98 ,858 ,
